id,name,released,metacritic,rating,ratings_count,reviews_count,playtime_hours,genres,platforms,esrb_rating,slug,release_year,decade,genre_primary,genre_count,rating_10,composite_score,popularity_log,platform_primary
28619,Gears of War 2,2008-11-07,93,4.28,716,721,22,Shooter,"Xbox 360, Xbox One",Mature,gears-of-war-2,2008,2000s,Shooter / FPS,1,8.56,90.0,6.575,Xbox 360
23599,World of Warcraft,2004-11-23,93,4.31,685,692,129,"RPG, Massively Multiplayer","PC, macOS",Teen,world-of-warcraft,2004,2000s,RPG,2,8.62,90.3,6.531,PC
52790,Castlevania: Symphony of the Night,1997-03-20,93,4.35,564,572,19,"Action, Adventure","SEGA Saturn, PlayStation, Android, Xbox 360, iOS",Not Rated,castlevania-sotn,1997,1990s,Action,2,8.7,90.6,6.337,SEGA Saturn
18183,Company of Heroes,2006-09-11,93,3.68,564,570,7,Strategy,"PC, iOS",Not Rated,company-of-heroes,2006,2000s,Strategy,1,7.36,85.2,6.337,PC
392019,Half-Life: Alyx,2020-03-23,93,4.36,505,514,5,"Action, Shooter, Adventure",PC,Mature,half-life-alyx,2020,2020s,Action,3,8.72,90.7,6.227,PC
25414,Super Smash Bros. Brawl,2008-03-09,93,4.31,312,318,24,"Action, Casual, Fighting",Wii,Teen,super-smash-bros-brawl,2008,2000s,Action,3,8.62,90.3,5.746,Wii
26824,The Legend of Zelda: Skyward Sword,2011-11-20,93,4.15,285,294,33,Adventure,"Wii U, Wii, Nintendo Switch",Everyone 10+,the-legend-of-zelda-skyward-sword,2011,2010s,Adventure,1,8.3,89.0,5.656,Wii U
38067,StarCraft II: Wings of Liberty,2010-07-27,93,4.56,281,282,13,Strategy,"PC, macOS",Teen,starcraft-ii-wings-of-liberty,2010,2010s,Strategy,1,9.12,92.3,5.642,PC
27974,Super Mario 3D World,2013-11-21,93,4.37,237,244,58,"Action, Platformer","Nintendo Switch, Wii U",Everyone,super-mario-3d-world,2013,2010s,Action,2,8.74,90.8,5.472,Nintendo Switch
949,Cut the Rope,2010-10-04,93,3.78,199,200,1,"Arcade, Casual, Indie, Puzzle","Android, Nintendo DS, Nintendo 3DS, Nintendo DSi, iOS, PC",Not Rated,cut-the-rope,2010,2010s,Arcade,4,7.56,86.0,5.298,Android
