id,name,released,metacritic,rating,ratings_count,reviews_count,playtime_hours,genres,platforms,esrb_rating,background_image,slug
27714,Super Mario Advance 4: Super Mario Bros. 3,2003-07-11,94,3.94,16,17,0,Platformer,Game Boy Advance,Everyone,https://media.rawg.io/media/screenshots/3a6/3a674b1817d889fb917d5f3ea70e7f38.jpg,super-mario-advance-4-super-mario-bros-3
16359,Divinity: Original Sin - Enhanced Edition,2015-10-27,94,4.25,1027,1039,8,"RPG, Indie","PC, Linux, macOS, PlayStation 4, Xbox One",Mature,https://media.rawg.io/media/games/33b/33b825c76382931df0fd8ecddf5caebe.jpg,divinity-original-sin-enhanced-edition
15642,The Elder Scrolls IV: Oblivion Game of the Year Edition,2009-06-16,94,4.32,680,681,5,RPG,"PC, Xbox 360, PlayStation 3",Mature,https://media.rawg.io/media/games/886/8868f9ea0c91d45316319ebf5dd4fc64.jpg,the-elder-scrolls-iv-oblivion-game-of-the-year-edi
13780,Sid Meier's Civilization IV,2005-10-25,94,4.11,375,375,1,Strategy,"PC, macOS",Everyone 10+,https://media.rawg.io/media/screenshots/85c/85c91c5064d2cdd56a949c8008868318.jpg,sid-meiers-civilization-iv
5679,The Elder Scrolls V: Skyrim,2011-11-11,94,4.42,4907,4964,46,"Action, RPG","PlayStation 5, PlayStation 4, PC, Xbox One, Xbox Series S/X, Nintendo Switch, Xbox 360, PlayStation 3",Mature,https://media.rawg.io/media/games/7cf/7cfc9220b401b7a300e409e539c9afd5.jpg,the-elder-scrolls-v-skyrim
5678,The Elder Scrolls IV: Oblivion,2006-03-20,94,4.34,959,966,4,"Adventure, RPG, Indie","PC, Xbox 360, PlayStation 3, Xbox One",Mature,https://media.rawg.io/media/games/615/61503312a95d451198d80d9bae275f79.jpg,the-elder-scrolls-iv-oblivion
4835,N.O.V.A.,2009-12-17,94,4.33,12,12,0,"Action, Shooter","Android, PlayStation 3, iOS, PSP",Teen,https://media.rawg.io/media/screenshots/a00/a009c9b997470dd1d5cb74127107af21.jpg,nova
4806,Mass Effect 2,2010-01-26,94,4.46,3081,3104,22,"Action, RPG","PC, Xbox One, PlayStation 3, Xbox 360",Mature,https://media.rawg.io/media/games/3cf/3cff89996570cf29a10eb9cd967dcf73.jpg,mass-effect-2
4062,BioShock Infinite,2013-03-26,94,4.38,4168,4211,12,"Action, Shooter","PlayStation 4, Xbox 360, Nintendo Switch, Linux, PC, PlayStation 3, Xbox One",Mature,https://media.rawg.io/media/games/fc1/fc1307a2774506b5bd65d7e8424664a7.jpg,bioshock-infinite
3469,Metal Gear Solid 4: Guns of the Patriots,2008-06-12,94,4.38,664,669,20,"Action, Shooter",PlayStation 3,Mature,https://media.rawg.io/media/games/b27/b27eea9f8df280799b357b320f01211c.jpg,metal-gear-solid-4-guns-of-the-patriots
430,Grand Theft Auto: Vice City,2002-10-27,94,4.45,3094,3112,2,Action,"Android, macOS, PC, iOS, PlayStation 4, PS Vita, PlayStation 2, Xbox",Mature,https://media.rawg.io/media/games/13a/13a528ac9cf48bbb6be5d35fe029336d.jpg,grand-theft-auto-vice-city
392019,Half-Life: Alyx,2020-03-23,93,4.36,505,514,5,"Action, Shooter, Adventure",PC,Mature,https://media.rawg.io/media/games/855/8552c056d729f34c951c30f3cfef9da8.jpg,half-life-alyx
387230,Pro Evolution Soccer 2,2002-04-25,93,4.23,13,13,0,"Simulation, Sports","PlayStation, PlayStation 2",Everyone,https://media.rawg.io/media/games/00d/00d913a770fae29129906d810e77a4c6.jpg,pro-evolution-soccer-2
359109,SSX (2000),2000-10-26,93,0.0,5,5,0,Action,PlayStation 2,Everyone,https://media.rawg.io/media/games/d7d/d7d2bd7e2ed9207a2cc823c58089688f.jpg,ssx-2000
274755,Hades,2020-09-17,93,4.42,2079,2121,10,"Action, Adventure, RPG, Indie","PlayStation 5, Xbox Series S/X, PlayStation 4, Nintendo Switch, PC, Xbox One",Teen,https://media.rawg.io/media/games/1f4/1f47a270b8f241e4676b14d39ec620f7.jpg,hades-2018
58829,Super Smash Bros. Ultimate,2018-12-07,93,4.37,1082,1106,0,Fighting,Nintendo Switch,,https://media.rawg.io/media/games/9f3/9f3c513b301d8d7250a64dd7e73c62df.jpg,super-smash-bros-ultimate
58209,Dwarf Fortress,2006-08-08,93,4.33,94,95,3,"RPG, Strategy, Simulation, Indie","Linux, PC, macOS",,https://media.rawg.io/media/screenshots/b20/b20a30ae9d910d948a24ca234eb4553d.jpg,dwarf-fortress
54744,Skies of Arcadia,2000-10-05,93,4.22,49,50,0,RPG,"GameCube, Dreamcast",Teen,https://media.rawg.io/media/games/673/6737ad0c3c7f70c07c871c6002e6aef8.jpg,skies-of-arcadia
53562,SSX 3,2003-10-21,93,4.39,41,41,0,"Sports, Racing","Xbox, PlayStation 2, Xbox One, Xbox 360, GameCube",Everyone,https://media.rawg.io/media/games/e4f/e4fab00d5198c9727b1d6c694c5bed2b.jpg,ssx-3
53392,Mario Kart: Super Circuit (2001),2001-07-21,93,3.8,63,64,1,Racing,Game Boy Advance,Everyone,https://media.rawg.io/media/games/243/243ffd01d85cf3db7da6bdeea8f17459.jpg,mario-kart-super-circuit
52996,Gran Turismo 2,1999-12-11,93,4.4,114,115,0,Racing,"PlayStation, Dreamcast",Everyone,https://media.rawg.io/media/games/64d/64d9b8d00ea0da293f584077ad432aa9.jpg,gran-turismo-2
52790,Castlevania: Symphony of the Night,1997-03-20,93,4.35,564,572,19,"Action, Adventure","SEGA Saturn, PlayStation, Android, Xbox 360, iOS",,https://media.rawg.io/media/games/45d/45da4dc311d84b79230317d7b24a3dec.jpg,castlevania-sotn
51325,The Last of Us Part II,2020-06-19,93,4.42,1989,2084,0,"Action, Shooter, Adventure","PlayStation 4, PlayStation 5",Mature,https://media.rawg.io/media/games/909/909974d1c7863c2027241e265fe7011f.jpg,the-last-of-us-part-2
39707,God of War II,2007-03-13,93,4.4,962,979,17,Action,"PlayStation 2, PS Vita, PlayStation 3",Mature,https://media.rawg.io/media/games/615/615e9fc0a325e0d87b84dad029b8b7b9.jpg,god-of-war-ii
38067,StarCraft II: Wings of Liberty,2010-07-27,93,4.56,281,282,13,Strategy,"PC, macOS",Teen,https://media.rawg.io/media/games/5f7/5f7191716faebcf102a357c5c2889394.jpg,starcraft-ii-wings-of-liberty
35374,Unreal Tournament 2004,2004-03-16,93,4.33,160,160,3,"Action, Shooter","macOS, Linux, PC",Mature,https://media.rawg.io/media/games/59c/59ccb40e955d56d3d4d0656dd93b132c.jpg,unreal-tournament-2004
